concept,count
"('228577', 'Impaired Skin #2- Type')",765
"('229138', 'Substance withdrawal NCP - Interventions')",762
"('229106', 'Pain NCP - Plan revised')",754
"('227684', 'Safety Measures')",747
"('224119', '22 Gauge Site Appear')",744
"('227681', 'Less Restrictive Measures_V1')",743
"('227667', 'Reason for Immobilizer')",742
"('229108', 'Post-op Care NCP - Plan revised')",740
"('228009', '16 G Phlebitis Scale')",740
"('227664', 'Immobilizer Device')",740
"('228843', 'Pressure ulcer #1- Undermining present')",736
"('228010', '16 G Infiltration Scale')",731
"('227445', 'CK-MB')",730
"('227130', 'Trach Care')",730
"('224101', 'Chest PT R/L')",728
"('227666', 'Immobilizer Location')",726
"('228336', 'CAM-ICU Inattention')",721
"('224808', 'CT #2 Suction Type')",714
"('225117', 'Unable to assess nutrition / education')",712
"('224715', 'SBT Started')",708
"('227588', 'GI #1 Tube Place Method')",708
"('226480', 'Ectopy Frequency 2')",707
"('224427', 'CT #2 Suction Amount')",704
"('227665', 'Immobilizer Evaluated')",703
"('229088', 'Altered Mental Status  NCP - Plan revised')",702
"('229097', 'Discharge NCP - Problem resolved')",697
"('229152', 'Palliative Care NCP - Interventions')",692
"('228803', 'Pressure ulcer #1- Dressing status')",691
"('225634', 'CK (CPK)')",679
"('224995', 'Incision Appearance #4')",677
"('225129', 'Unable to assess teaching / learning needs')",676
"('225674', 'Mixed Venous O2% Sat')",676
"('224916', 'Impaired Skin Length #2')",675
"('224951', 'Impaired Skin Width #2')",673
"('223810', 'Paroxysmal Sweats')",673
"('223817', 'Agitation')",673
"('223805', 'Nausea and Vomiting (CIWA)')",672
"('223806', 'Tremor (CIWA)')",672
"('229133', 'Elimination NCP - Expected outcomes')",669
"('224932', 'Impaired Skin Site #4')",668
"('227287', 'O2 Flow (additional cannula)')",666
"('223811', 'Anxiety')",666
"('223818', 'Tactile Disturbances')",659
"('223814', 'Auditory Disturbance')",658
"('223819', 'Visual Disturbances')",658
"('223820', 'Headache')",658
"('227662', 'Patient/Family Informed_V2')",658
"('223821', 'Orient/Clouding Sensory')",657
"('225006', 'Incision Closure #4')",657
"('225091', 'Unable to assess activity / mobility')",645
"('224939', 'Impaired Skin Treatment #4')",645
"('225019', 'Incision Drainage Amount #3')",644
"('223823', 'Insomnia')",642
"('223824', 'Seizure')",642
"('225086', 'Unable to assess cognitive / perceptual')",637
"('227627', 'Arctic Sun/Alsius Set Temp')",637
"('226534', 'Sodium (whole blood)')",632
"('228971', 'Nutrition NCP - Body needs')",632
"('229129', 'Altered Sensory Perception NCP - Problem resolved')",627
"('229105', 'Nutrition  NCP - Problem resolved')",622
"('229347', 'Impaired Mobility  NCP - Interventions')",620
"('224172', 'MDI #2 Puff')",618
"('229110', 'Safety Restraints NCP - Plan revised')",617
"('226130', 'ICP Line Site Appear')",613
"('223836', 'Airway Type')",610
"('220734', 'PH (dipstick)')",604
"('225133', 'Discharge needs')",601
"('225237', '16 Gauge Site Appear')",599
"('227468', 'Fibrinogen')",590
"('227471', 'Specific Gravity (urine)')",590
"('227628', 'Arctic Sun Water Temp')",590
"('226129', 'ICP Line placed in outside facility')",587
"('227363', 'ICP Line Dressing Occlusive')",587
"('226133', 'ICP Line Waveform Appear')",586
"('224910', 'Impaired Skin Drainage Amount #3')",586
"('224889', 'Impaired Skin Cleanse #3')",578
"('225090', 'Interpreter')",576
"('224422', 'Spont RR')",574
"('224421', 'Spont Vt')",573
"('224946', 'Impaired Skin Type #4')",571
"('224974', 'Surrounding Tissue #4')",570
"('224796', 'Ostomy')",568
"('228309', 'GI #2 Tube Place Check')",565
"('229098', 'Impaired Fluid Balance NCP - Plan revised')",565
"('228318', 'Shivering Assessment')",562
"('224425', 'CT #2 Dressing')",558
"('224424', 'CT #2 Drainage')",558
"('224777', 'CT #2 Leak')",548
"('224426', 'CT #2 Fluctuate')",545
"('229699', 'CPOT-Facial Expression (CPOTa)')",541
"('229697', 'CPOT-Body Movements (CPOTa)')",541
"('229692', 'CPOT-Muscle Tension (CPOTa)')",539
"('229686', 'Warming Device')",537
"('229694', 'CPOT-Vocalization (CPOTa)')",536
"('225105', 'Unable to assess habits')",535
"('224960', 'Impaired Skin Wound Base #4')",532
"('220063', 'Pulmonary Artery Pressure Alarm - High')",525
"('220066', 'Pulmonary Artery Pressure Alarm - Low')",522
"('228562', 'Incision #4- Location')",522
"('225175', 'See chart for initial patient assessment')",516
"('223972', 'Angio Appearance # 2')",516
"('224979', 'Tunneling Present #2')",512
"('229319', 'Activity / Mobility (JH-HLM)')",512
"('227241', 'PAP Alarm Source')",509
"('227351', 'PA Catheter Dressing Occlusive')",508
"('223825', 'Sustained Nystagmus')",506
"('225112', 'Unable to assess pain')",505
"('225355', 'PA Catheter Site Appear')",503
"('223828', 'Slurred Speech')",502
"('226730', 'Height (cm)')",501
"('226707', 'Height')",501
"('225357', 'PA Catheter Waveform Appear')",501
"('228854', 'Impaired Skin #2- Type')",499
"('225813', 'Baseline pain level')",496
"('223829', 'Drowsiness')",495
"('229344', 'Impaired Mobility NCP - Expected outcomes')",494
"('224834', 'Temporary Ventricular Sens')",493
"('224390', 'Temporary Atrial Sens')",492
"('228753', 'Pressure ulcer #1- Drainage')",492
"('228574', 'Incision #4- Treatment')",491
"('223827', 'Ataxia')",487
"('223971', 'Angio Site # 2')",479
"('227988', 'Pronator drift present')",478
"('228531', 'Impaired Skin #3- Treatment')",477
"('223973', 'Angio Dressing # 2')",476
"('224904', 'Impaired Skin Drainage #4')",473
"('224835', 'Temporary Ventricular Capture')",468
"('227757', 'PA Catheter Placement Confirmed by X-ray')",463
"('224866', 'Temporary Atrial Capture')",462
"('224423', 'CT #2 Crepitus')",460
"('226114', 'PA Catheter placed in outside facility')",458
"('224563', 'Impaired Skin Depth #1')",455
"('224998', 'Incision Cleansing #2')",451
"('229386', 'Cerebellar - Finger -> Nose')",445
"('229681', 'Indwelling Urinary Catheter Care')",441
"('228734', 'Pressure ulcer #2- Wound Base')",430
"('229094', 'Coping/Knowledge Deficit  NCP - Plan revised')",429
"('224925', 'Impaired Skin Odor #4')",428
"('225958', 'Heparin Concentration (units/mL)')",428
"('224890', 'Impaired Skin Cleanse #4')",427
"('225007', 'Incision Closure #5')",424
"('228601', 'Impaired Skin #2- Dressing Status')",420
"('224986', 'Undermining Present #2')",418
"('224996', 'Incision Appearance #5')",418
"('224717', 'SBT Successfully Completed')",417
"('225684', 'Serum Osmolality')",416
"('224327', 'PCA medication')",414
"('228499', 'Impaired Skin #4- Location')",405
"('224013', 'Stool Guaiac')",403
"('224328', 'PCA dose')",403
"('224329', 'PCA lockout (min)')",402
"('224330', 'PCA 1 hour limit')",401
"('227111', 'PCA  dose units')",396
"('225379', 'Indwelling Port (PortaCath) Site Appear')",394
"('229136', 'Substance withdrawal NCP - Expected outcomes')",392
"('227125', 'Indwelling (PortaCath) Port Type')",391
"('227113', 'PCA 1 hour limit units')",391
"('227360', 'Indwelling Port (PortaCath) Dressing Occlusive')",384
"('220088', 'Cardiac Output (thermodilution)')",380
"('225280', 'Called Out')",379
"('228578', 'Impaired Skin #3- Type')",378
"('224911', 'Impaired Skin Drainage Amount #4')",377
"('228419', 'Compression device # 1')",376
"('224755', 'Temporary Atrial Stim Setting mA')",375
"('225048', 'Knee Location - Immobilizer')",375
"('225015', 'Incision Drainage #4')",374
"('224753', 'Temporary Atrial Sens Setting mV')",373
"('226536', 'Chloride (whole blood)')",371
"('229145', 'Metabolic disturbance NCP - Interventions')",370
"('227809', 'ETT Position Change')",366
"('224917', 'Impaired Skin Length #3')",360
"('224952', 'Impaired Skin Width #3')",358
"('223960', 'Temporary Venticular Stim Threshold mA')",356
"('224797', 'Ostomy Appearance')",356
"('224838', 'Temporary Ventricular Stim Setting mA')",352
"('224965', 'Pressure Ulcer Stage #2')",352
"('223958', 'Temporary Venticular Sens Threshold mV')",349
"('229371', 'Bladder Scan Estimate')",348
"('228153', 'Dual Signal Screen')",346
"('228518', 'Impaired Skin #1- Cleanse')",344
"('224837', 'Temporary Ventricular Sens Setting mV')",343
"('229243', 'Neuro Mon Line Type')",343
"('229361', 'Absolute Count - Basos')",340
"('229360', 'Absolute Count - Eos')",340
"('229359', 'Absolute Count - Monos')",340
"('229358', 'Absolute Count - Lymphs')",340
"('229357', 'Absolute Count - Neuts')",340
"('224975', 'Surrounding Tissue #5')",340
"('229122', 'Elimination NCP - Problem resolved')",339
"('223847', 'Passey Muir Valve in use')",338
"('224332', 'PCA inject')",336
"('224663', 'PCA attempt')",335
"('227626', 'Seizure Pads')",335
"('223759', 'Precautions: Standard +')",332
"('224439', 'Chest Tube Site #3')",330
"('229305', 'Power (Watts) (HeartWare)')",330
"('229304', 'Flow (L/min) (HeartWare)')",330
"('229303', 'Speed (RPM) (HeartWare)')",330
"('224752', 'Temporary Atrial Sens Threshold mV')",328
"('224754', 'Temporary Atrial Stim Threshold mA')",327
"('229306', 'HCT (HeartWare)')",326
"('229308', 'High Power Alarm (HeartWare)')",325
"('229307', 'Low Flow Alarm (HeartWare)')",325
"('228597', 'Incision #4- Dressing Status')",322
"('224940', 'Impaired Skin Treatment #5')",312
"('229092', 'Altered Skin Integrity NCP - Plan revised')",311
"('228507', 'Pressure Ulcer #2- Location')",308
"('225225', 'CCO PAC Site Appear')",306
"('224933', 'Impaired Skin Site #5')",306
"('227352', 'CCO PAC Dressing Occlusive')",303
"('228763', 'Pressure ulcer #1- Drainage amount')",301
"('225227', 'CCO PAC Waveform Appear')",299
"('223938', 'Ulnar Pulse R')",298
"('224413', 'TOF Response')",298
"('228550', 'Pressure Ulcer #2- Type')",298
"('228744', 'Pressure ulcer #2- Surrounding tissue')",297
"('225347', 'Midline Site Appear')",294
"('226108', 'CCO PAC placed in outside facility')",293
"('225029', 'Dressing Status #3')",291
"('227439', 'Indwelling Port (PortaCath) placed in outside facility')",291
"('224833', 'SBT Deferred')",289
"('229656', 'Stroke NCP - Water Swallow Deferred')",286
"('224947', 'Impaired Skin Type #5')",286
"('225230', '20 Gauge Reason Discontinued')",285
"('224379', 'PCA cleared')",284
"('228814', 'Pressure ulcer #2- Stage')",283
"('225949', 'NIV Mask')",282
"('229650', 'Stroke NCP - Water Swallow')",280
"('226112', 'Midline placed in outside facility')",280
"('229646', 'Stroke NCP - Plan revised')",278
"('227751', 'CCO PAC Placement Confirmed by X-ray')",277
"('223802', 'Nerve Stimulated')",276
"('225020', 'Incision Drainage Amount #4')",276
"('224665', 'PCA total dose')",275
"('223760', 'Health Care Proxy')",274
"('224044', 'Incision Packing #1')",274
"('224331', 'PCA basal rate (mL/hour)')",272
"('229648', 'Stroke NCP - Problem resolved')",271
"('223768', 'Intra Cranial Pressure Alarm - Low')",270
"('227474', 'Incision Site #3')",269
"('223767', 'Intra Cranial Pressure Alarm - High')",268
"('227980', 'Intra Aortic Balloon Pump Setting')",268
"('228563', 'Incision #5- Location')",267
"('224905', 'Impaired Skin Drainage #5')",266
"('229649', 'Stroke NCP - Type')",263
"('224310', 'Augmented Diastole')",263
"('228714', 'Bladder scanned')",262
"('225003', 'Incision Closure #6')",262
"('224322', 'IABP Mean')",261
"('228855', 'Impaired Skin #3- Type')",261
"('224309', 'Assisted Systole')",260
"('224311', 'BAEDP')",260
"('224366', 'Epidural Infusion Rate (mL/hr)')",259
"('224368', 'Epidural Medication')",258
"('227119', 'Epidural Location')",256
"('225638', 'Differential-Bands')",254
"('224652', 'Unassisted Systole')",254
"('224654', 'PAEDP')",253
"('224810', 'CT #3 Suction Type')",252
"('225024', 'Incision Dressing #3')",251
"('229128', 'Altered Sensory Perception NCP - Plan revised')",250
"('224436', 'CT #3 Suction Amount')",249
"('229327', 'Activity Intolerance  NCP - Expected outcomes')",249
"('224980', 'Tunneling Present #3')",248
"('227783', 'Impaired Skin - Dressing Status  #4')",247
"('227455', 'Vancomycin (Trough)')",246
"('224961', 'Impaired Skin Wound Base #5')",246
"('226185', 'ICU Consent Signed')",245
"('227117', 'PCA total dose units')",245
"('224987', 'Undermining Present #3')",245
"('225085', 'Post menopausal')",244
"('229096', 'Discharge NCP - Plan revised')",243
"('224912', 'Impaired Skin Drainage Amount #5')",243
"('225358', 'PA Catheter Zero/Calibrate')",241
"('228773', 'Pressure ulcer #1- Odor')",241
"('228575', 'Incision #5- Treatment')",241
"('225672', 'Lipase')",240
"('223800', 'Epidural Appearance')",239
"('223942', 'Graft/Flap Pulse')",238
"('224962', 'Impaired Skin Wound Base #6')",236
"('225637', 'Differential-Atyps')",235
"('223963', 'Temporary Pacemaker Wires Ground')",233
"('224918', 'Impaired Skin Length #4')",232
"('224114', 'PT Splint Location #1')",230
"('224967', 'Pressure Ulcer Stage #4')",230
"('224066', 'Position Change')",230
"('224891', 'Impaired Skin Cleanse #5')",230
"('226134', 'ICP Line Zero/Calibrate')",229
"('224953', 'Impaired Skin Width #4')",229
"('223949', 'Ulnar Pulse L')",227
"('225082', 'Pregnant')",226
"('228724', 'Pressure ulcer #2- Length')",226
"('228532', 'Impaired Skin #4- Treatment')",224
"('228137', 'CHG Bath')",222
"('229301', 'GI #2 Tube Mark (CM)')",222
"('224430', 'CT #3 Drainage')",221
"('228621', 'Pressure Ulcer #2- Width')",221
"('224432', 'CT #3 Dressing')",219
"('228310', 'GI #2 Tube Place Method')",219
"('228564', 'Incision #6- Location')",219
"('227805', 'SvO2 SQI')",218
"('224434', 'CT #3 Fluctuate')",217
"('224779', 'CT #3 Leak')",217
"('228234', 'PAR-Respiration')",214
"('228231', 'PAR-Consciousness')",214
"('228230', 'PAR-Circulation')",214
"('228229', 'PAR-Activity')",214
"('224895', 'Impaired Skin Depth #2')",214
"('224999', 'Incision Cleansing #3')",213
"('224926', 'Impaired Skin Odor #5')",213
"('225192', 'Collar Care')",212
"('229356', 'Differential - Immature Granulocytes')",211
"('227801', 'Stool Guaiac QC')",211
"('228156', 'Performance Level')",211
"('224906', 'Impaired Skin Drainage #6')",211
"('224662', 'Current Used/mA')",210
"('228157', 'Placement Monitoring Screen')",209
"('228154', 'Flow Rate (Impella)')",209
"('228151', 'Aortic Pressure Signal - Diastolic')",208
"('228152', 'Aortic Pressure Signal - Systolic')",208
"('228158', 'Purge Pressure')",208
"('228159', 'Purge Solution Flow Rate')",208
"('229311', 'Motor Current (mA) High')",207
"('229312', 'Motor Current (mA) Low')",207
"('220581', 'Amylase')",206
"('228232', 'PAR-Oxygen saturation')",206
"('224976', 'Surrounding Tissue #6')",206
"('227127', 'Indwelling (PortaCath) Port #1')",206
"('228565', 'Incision #1- Cleanse')",205
"('227591', 'Neuro Drain Landmark')",205
"('224981', 'Tunneling Present #4')",204
"('229685', 'Vaulables Checklist')",202
"('228610', 'Pressure Ulcer #1- Depth')",202
"('225180', 'PT Splint Status #1')",201
"('228368', 'Cardiac Index (CI NICOM)')",200
"('227676', 'Reason for Restraints (Non-Violent)')",200
"('224934', 'Impaired Skin Site #6')",200
"('223801', 'NMB Medication')",198
"('229679', 'Type of Catheter (Impella)')",198
"('224988', 'Undermining Present #4')",198
"('224941', 'Impaired Skin Treatment #6')",198
"('224844', 'Permanent Pacemaker Mode')",197
"('228540', 'Pressure Ulcer #2- Treatment')",197
"('227454', 'Vancomycin (Random)')",196
"('227671', 'Non-Violent Restraints')",195
"('224948', 'Impaired Skin Type #6')",194
"('223771', 'PCWP')",192
"('228375', 'Stroke Volume Index (SVI NICOM)')",191
"('227120', 'Motor Deficit')",190
"('227782', 'Impaired Skin  - Dressing Status #3')",189
"('225233', '18 Gauge Reason Discontinued')",188
"('227539', 'ART Blood Pressure Alarm Source')",188
"('225737', 'Arterial Line Discontinued')",186
"('227537', 'ART Blood Pressure Alarm - High')",186
"('227538', 'ART Blood Pressure Alarm - Low')",185
"('228369', 'Cardiac Output (CO NICOM)')",185
"('228303', 'CAM-ICU Disorganized thinking')",185
"('224968', 'Pressure Ulcer Stage #5')",184
"('224800', 'AV Fistula R Bruit')",184
"('227461', 'Phenytoin (Dilantin)')",182
"('224801', 'AV Fistula R Thrill')",182
"('224997', 'Incision Appearance #6')",182
"('229235', 'Brain Tissue Oxygenation')",182
"('224913', 'Impaired Skin Drainage Amount #6')",181
"('224963', 'Impaired Skin Wound Base #7')",181
"('228413', 'Seizure Activity')",180
"('228500', 'Impaired Skin #5- Location')",180
"('224445', 'GI #2 Tube Drainage')",178
"('225016', 'Incision Drainage #5')",178
"('229387', 'Cerebellar - Heel -> Shin')",177
"('227678', 'Restraint Device (Non-Violent)')",177
"('229236', 'Cerebral Temperature (C)')",177
"('225693', 'Triglyceride')",176
"('229104', 'Nutrition  NCP - Plan revised')",175
"('227810', 'ETT Re-taped')",175
"('228374', 'Stroke Volume (SV NICOM)')",173
"('225988', 'IABP Position on leg')",173
"('228783', 'Pressure ulcer #1- Cleanse')",173
"('227418', 'Midline Dressing Occlusive')",172
"('228576', 'Incision #6- Treatment')",172
"('229324', 'CAM-ICU Disorganized thinking')",169
"('225628', 'CK-MB fraction (%)')",168
"('228376', 'Stroke Volume Variation (SVV NICOM)')",166
"('224966', 'Pressure Ulcer Stage #3')",166
"('229150', 'Palliative Care NCP - Expected outcomes')",165
"('226889', 'Legal Guardian')",164
"('225767', 'Sheath Site Appear')",162
"('228602', 'Impaired Skin #3- Dressing Status')",161
"('224746', 'Transpulmonary Pressure (Exp. Hold)')",161
"('229317', 'StO2')",161
"('224747', 'Transpulmonary Pressure (Insp. Hold)')",160
"('224845', 'Permanent Pacemaker Rate')",159
"('224892', 'Impaired Skin Cleanse #6')",158
"('224428', 'CT #3 Crepitus')",157
"('223940', 'Femoral Pulse R')",153
"('228519', 'Impaired Skin #2- Cleanse')",153
"('229316', 'TOF Twitch')",153
"('225651', 'Direct Bilirubin')",152
"('229143', 'Metabolic disturbance NCP - Expected outcomes')",152
"('228866', 'Plateau Pressure (IABP)')",152
"('224927', 'Impaired Skin Odor #6')",152
"('228856', 'Impaired Skin #4- Type')",149
"('226117', 'Sheath placed in outside facility')",148
"('227578', 'BiPap Mask')",146
"('227680', 'Restraint Location_V2')",146
"('227462', 'FK506')",145
"('224418', 'Cuff Volume (mL)')",144
"('228579', 'Impaired Skin #4- Type')",144
"('224090', 'Knee Immobilizer Status')",143
"('227755', 'Midline Placement Confirmed by X-ray')",139
"('224791', 'GI #3 Tube Type')",138
"('224442', 'GI #3 Intub Site')",138
"('227585', 'GI Guaiac')",138
"('227577', 'BiPap Mode')",137
"('227579', 'BiPap EPAP')",137
"('224792', 'GI #3 Tube Status')",137
"('229350', 'Impaired Mobility NCP - Plan revised')",137
"('227669', 'Side Rails (Restraint)')",137
"('228745', 'Pressure ulcer #3- Surrounding tissue')",137
"('224896', 'Impaired Skin Depth #3')",136
"('224803', 'AV Fistula L Bruit')",136
"('223944', 'Brachial Pulse L')",135
"('226135', '14 Gauge placed in outside facility')",135
"('227365', '14 Gauge Dressing Occlusive')",135
"('225722', 'Arterial Line Tip Cultured')",135
"('224804', 'AV Fistula L Thrill')",135
"('225030', 'Dressing Status #4')",131
"('228804', 'Pressure ulcer #2- Dressing status')",130
"('227580', 'BiPap IPAP')",128
"('224006', 'Emesis Appearance')",127
"('223939', 'Brachial Pulse R')",126
"('229141', 'Substance withdrawal NCP - Problem resolved')",125
"('226846', 'Feeding Weight')",125
"('227682', 'Restraints Evaluated_V2')",125
"('227981', 'Neuro Drain #2 Type')",124
"('224062', 'Less Restrictive Measures (Acute Med/Surgical)')",124
"('228566', 'Incision #2- Cleanse')",123
"('225770', 'Sheath Waveform Appear')",123
"('227128', 'Indwelling (PortaCath) Port #2')",123
"('227582', 'BiPap O2 Flow')",121
"('224414', 'TOF Twitch')",121
"('227475', 'Incision Site #4')",121
"('229349', 'Impaired Mobility NCP - Problem resolved')",120
"('228420', 'Compression device # 2')",120
"('225025', 'Incision Dressing #4')",120
"('228233', 'PAR-Remain sedated')",119
"('227516', 'PO2 (Mixed Venous)')",118
"('227356', 'Sheath Line Dressing Occlusive')",118
"('228508', 'Pressure Ulcer #3- Location')",118
"('224942', 'Impaired Skin Treatment #7')",117
"('228551', 'Pressure Ulcer #3- Type')",116
"('224919', 'Impaired Skin Length #5')",116
"('224954', 'Impaired Skin Width #5')",116
"('225228', 'CCO PAC Zero/Calibrate')",113
"('227187', 'Pinsp (Draeger only)')",113
"('224935', 'Impaired Skin Site #7')",113
"('227717', 'Cerebral Perfusion Pressure Alarm - Low')",112
"('225000', 'Incision Cleansing #4')",112
"('223945', 'Femoral Pulse L')",111
"('228725', 'Pressure ulcer #3- Length')",111
"('228622', 'Pressure Ulcer #3- Width')",111
"('224956', 'Impaired Skin Width #7')",111
"('229882', 'CVL Biopatch')",111
"('227716', 'Cerebral Perfusion Pressure Alarm - High')",110
"('229881', 'Dialysis/Pheresis Biopatch')",110
"('228815', 'Pressure ulcer #3- Stage')",109
"('227673', 'Non-Violent Restraints Ordered')",108
"('224907', 'Impaired Skin Drainage #7')",108
"('228834', 'Pressure ulcer #2- Tunneling present')",107
"('226499', 'Hemodialysis Output')",106
"('224025', 'Spiritual Support')",106
"('229155', 'Palliative Care NCP - Problem resolved')",106
"('228599', 'Incision #6- Dressing Status')",106
"('227965', 'Restraint Device (Violent)')",105
"('229003', 'Self harm NCP - Interventions')",105
"('228603', 'Impaired Skin #4- Dressing Status')",104
"('225772', 'Sheath Size')",103
"('225729', 'Multi Lumen Line Tip Cultured')",103
"('228344', 'OCAT - Saliva secretions, Voice quality')",102
"('228754', 'Pressure ulcer #2- Drainage')",102
"('227567', 'Airway Location')",102
"('229268', 'Circuit Configuration (ECMO)')",102
"('229271', 'Flow Alarm (Hi) (ECMO)')",102
"('229272', 'Flow Alarm (Lo) (ECMO)')",102
"('228346', 'OCAT - Teeth')",101
"('228345', 'OCAT - Swallow')",101
"('228343', 'OCAT - Lips Tongue Gums Palate')",101
"('228709', 'Respiratory')",101
"('224982', 'Tunneling Present #5')",101
"('224949', 'Impaired Skin Type #7')",101
"('227989', 'Intra Cranial Pressure #2')",101
"('229641', 'Stroke NCP - Consults')",100
"('227674', 'Face to Face Eval (Non-Violent)')",100
"('224989', 'Undermining Present #5')",100
"('223797', 'Sensory Level')",99
"('226473', 'Blood Transfusion Consent')",98
"('229659', '% Minute Volume')",97
"('228311', 'GI #3 Tube Place Check')",97
"('228097', '14 Gauge placed in the field')",96
"('225744', 'Multi Lumen Line Discontinued')",96
"('229123', 'Elimination NCP - Plan revised')",96
"('224893', 'Impaired Skin Cleanse #7')",96
"('223941', 'Popliteal Pulse R')",95
"('227460', 'Phenobarbital')",95
"('227761', 'Sheath Placement Confirmed by X-ray')",95
"('225017', 'Incision Drainage #6')",95
"('229032', 'HEENT')",94
"('228735', 'Pressure ulcer #3- Wound Base')",94
"('228312', 'GI #3 Tube Place Method')",94
"('228501', 'Impaired Skin #6- Location')",93
"('224702', 'PCV Level')",93
"('224920', 'Impaired Skin Length #6')",92
"('229278', 'Sweep (ECMO)')",92
"('229270', 'Flow (ECMO)')",92
"('229277', 'Speed (ECMO)')",92
"('229280', 'FiO2 (ECMO)')",92
"('229276', 'Suction events (ECMO)')",92
"('227463', 'Cortisol')",91
"('229363', 'P1 (ECMO)')",91
"('229364', 'P2 (ECMO)')",91
"('229365', 'P1 - P2 (ECMO)')",91
"('224661', 'Baseline Current/mA')",90
"('227784', 'Impaired Skin  - Dressing Status #5')",90
"('228598', 'Incision #5- Dressing Status')",89
"('227568', 'Airway Size (mm)')",87
"('228533', 'Impaired Skin #5- Treatment')",87
"('227982', 'Neuro Drain #2 Status')",87
"('224914', 'Impaired Skin Drainage Amount #7')",86
"('227983', 'Neuro Drain #2 Drainage')",86
"('228520', 'Impaired Skin #3- Cleanse')",85
"('228857', 'Impaired Skin #5- Type')",85
"('224955', 'Impaired Skin Width #6')",85
"('229266', 'Cannula sites visually inspected (ECMO)')",85
"('229269', 'Circuit inspected for clot (ECMO)')",85
"('229273', 'Flow Sensor repositioned (ECMO)')",85
"('229274', 'Oxygenator visible (ECMO)')",85
"('229275', 'Pump plugged into RED outlet (ECMO)')",85
"('229267', 'Emergency Equipment at bedside (ECMO)')",85
"('220603', 'Cholesterol')",84
"('227962', 'Restraints (Violent)')",84
"('224969', 'Pressure Ulcer Stage #6')",84
"('225021', 'Incision Drainage Amount #5')",84
"('228541', 'Pressure Ulcer #3- Treatment')",82
"('228844', 'Pressure ulcer #2- Undermining present')",82
"('224113', 'Traction/Immobile Location #1')",82
"('227964', 'Reason for Restraint (Violent)')",81
"('228300', 'CAM-ICU MS change')",79
"('227785', 'Impaired Skin  - Dressing Status #6')",79
"('220624', 'HDL')",78
"('224716', 'SBT Stopped')",78
"('225671', 'LDL calculated')",77
"('224440', 'Chest Tube Site #4')",77
"('227620', 'Surrounding Tissue #9')",77
"('224943', 'Impaired Skin Treatment #8')",77
"('229704', 'CP-Pain Management')",76
"('227583', 'Autoset/CPAP')",75
"('223966', 'Transcutaneous Pacer Placement')",74
"('223763', 'Bladder Pressure')",74
"('224375', 'Cont Neb - Med')",74
"('225240', '14 Gauge Site Appear')",74
"('223946', 'Popliteal Pulse L')",73
"('228373', 'Passive Leg Raise Performed')",73
"('228699', 'Cardiovascular')",73
"('227133', 'Small Volume Neb Drug #2')",73
"('229636', 'Test Performed (AM-PAC)')",73
"('227986', 'Neuro Drain #2 Landmark')",73
"('229148', 'Metabolic disturbance NCP - Problem resolved')",72
"('228764', 'Pressure ulcer #2- Drainage amount')",72
"('224064', 'Restraint Location_V1')",72
"('224121', '22 Gauge Reason Discontinued')",71
"('228926', 'Impaired Tissue Perfusion NCP - Goal')",71
"('228702', 'Lines/Tubes')",69
"('225732', 'PICC Line Tip Cultured')",69
"('229638', 'Discharge Recommendations (AM-PAC)')",69
"('228173', 'Impella Position')",69
"('223952', 'Pericardial Drain Status')",69
"('228335', 'CAM-ICU Disorganized thinking')",68
"('224680', 'Cuff Volume/units')",68
"('229633', 'Basic Mobility (AM-PAC)')",68
"('228296', 'PCA concentrations')",68
"('224854', 'Reason for Restraint (Acute Medical/Surgical)_V1')",68
"('228442', 'BIS - EMG')",68
"('228443', 'BIS - SQI')",68
"('223954', 'Pericardial Drain Site')",68
"('225339', 'IABP Site Appear')",67
"('224069', 'Side Rails_V1')",67
"('227984', 'Neuro Drain #2 Level')",67
"('228444', 'BIS Index Range')",67
"('228611', 'Pressure Ulcer #2- Depth')",67
"('227629', 'Shivering')",67
"('226110', 'IABP placed in outside facility')",66
"('225979', 'IABP Size')",65
"('225981', 'IABP Alarms Activated')",65
"('225984', 'IABP Trigger')",65
"('225986', 'IABP Arterial Waveform Source')",65
"('224898', 'Impaired Skin Depth #5')",65
"('225982', 'IABP Balloon Waveform')",64
"('225985', 'IABP Helium Tubing')",64
"('224857', 'Less Restrictive Measures (Behavioral)')",64
"('224068', 'Restraints Evaluated_V1')",64
"('224063', 'Restraint Type')",64
"('229868', 'Risk Factors for Pressure Injury')",64
"('228534', 'Impaired Skin #6- Treatment')",63
"('224908', 'Impaired Skin Drainage #8')",63
"('223953', 'Pericardial Drain Drainage')",63
"('224990', 'Undermining Present #6')",63
"('224983', 'Tunneling Present #6')",63
"('224894', 'Impaired Skin Cleanse #8')",63
"('224950', 'Impaired Skin Type #8')",63
"('227787', 'Impaired Skin  - Dressing Status  #8')",63
"('229560', 'Cardiac Assist Cannula Position')",63
"('227686', 'Central Venous O2% Sat')",62
"('228567', 'Incision #3- Cleanse')",62
"('225980', 'IABP Volume')",62
"('227967', 'Restraint/Seclusion Observer Sheet')",62
"('224936', 'Impaired Skin Site #8')",62
"('225341', 'IABP Art. Waveform Appear')",61
"('227604', 'Impaired Skin Odor #9')",61
"('227616', 'Impaired Skin Wound Base #9')",61
"('225987', 'IABP Power Source')",60
"('229705', 'CP-Pain Assessment Method')",60
