concept,count
"('52301', 'Lining Cell')",4
"('52227', 'Blasts')",4
"('51511', 'Urine Fat Bodies')",4
"('51655', 'HIV 2 Ab Confirmation')",4
"('51653', 'HIV 1 Ab Confirmation')",4
"('51397', 'CD16/56')",3
"('51692', 'Monospot, Rapid Antigen')",3
"('51413', 'CD56')",3
"('50870', 'Anti-Gliadin Antibody, IgA')",3
"('51318', 'CD25')",3
"('51190', 'CD59')",3
"('51187', 'CD55')",3
"('52276', 'NRBC')",3
"('52268', 'Mesothelial cells')",3
"('51322', 'CD38')",3
"('51061', 'Bicarbonate, Stool')",3
"('51380', 'NRBC')",3
"('51621', 'Ethylene Glycol')",3
"('52263', 'Lining Cell')",3
"('51387', 'Basophils')",3
"('51475', 'Epithelial Casts')",3
"('51433', 'NRBC')",3
"('51023', 'LD, Joint Fluid')",3
"('52043', 'Voided Specimen')",3
"('51201', 'Epinepherine')",3
"('51286', 'Ristocetin')",3
"('51149', 'Bleeding Time')",3
"('50990', 'Theophylline')",3
"('52129', 'Hemoglobin Other')",2
"('53144', 'ANCA Titer')",2
"('52274', 'Myelocytes')",2
"('51304', 'CD103')",2
"('51316', 'CD22')",2
"('52311', 'Promyelocytes')",2
"('51456', 'Promyelocytes')",2
"('51126', 'Promyelocytes')",2
"('51470', 'Calcium Phosphate Crystals')",2
"('51395', 'CD15')",2
"('51390', 'CD117')",2
"('51713', 'Reflex Confirmatory Hepatitis C Viral Load')",2
"('51806', 'Voided Specimen')",2
"('52305', 'Myelocytes')",2
"('51378', 'Metamyelocytes')",2
"('51495', 'RBC Clumps')",2
"('51211', 'Factor XIII')",2
"('51407', 'CD38')",2
"('51393', 'CD138')",2
"('51435', 'Plasma')",2
"('51203', 'Factor IX')",2
"('51209', 'Factor XI')",2
"('51210', 'Factor XII')",2
"('50844', 'Lipase, Ascites')",2
"('51072', 'Amylase, Urine')",2
"('51073', 'Amylase/Creatinine Ratio, Urine')",2
"('52257', 'Hematocrit, CSF')",2
"('51057', 'Potassium, Pleural')",2
"('51058', 'Sodium, Pleural')",2
"('51311', 'CD16')",2
"('51437', 'Promyelocytes')",2
"('51405', 'CD33')",1
"('51391', 'CD11c')",1
"('51394', 'CD14')",1
"('51410', 'CD41')",1
"('51421', 'Glyco A')",1
"('51417', 'CD71')",1
"('51415', 'CD64')",1
"('50851', 'Urea Nitrogen, Ascites')",1
"('51927', 'Albumin, Stool')",1
"('51480', 'Hematocrit')",1
"('51714', 'Reflex HIV Confirmation')",1
"('53154', 'Lactate')",1
"('51121', 'Myelocytes')",1
"('51036', 'Lipase, Body Fluid')",1
"('51776', '<Albumin>')",1
"('50959', 'Macro Prolactin')",1
"('50845', 'Miscellaneous, Ascites')",1
"('51173', 'CD25')",1
"('51461', 'Ammonium Biurate')",1
"('51675', 'INR(PT)')",1
"('51504', 'Tyrosine Crystals')",1
"('51241', 'Leukocyte Alkaline Phosphatase')",1
"('51483', 'Hyphenated Yeast')",1
"('51258', 'Osmotic Fragility')",1
"('51048', 'Bicarbonate, Pleural')",1
"('51050', 'Chloride, Pleural')",1
"('51432', 'Myelocytes')",1
"('51045', 'Urea Nitrogen, Body Fluid')",1
"('51044', 'Triglycer')",1
"('51430', 'Metamyelocytes')",1
"('51122', 'Nucleated RBC')",1
"('53127', 'Voided Specimen')",1
"('51329', 'CD57')",1
